 - motion - 

b	g	s

768k	4	16.7 MB
768k	16	16.2 MB
768k	64	16.0 MB
768k	128	15.9 MB
768k	256	15.9 MB

1024k	4	21.4 MB
1024k	16	20.7 MB
1024k	64	20.5 MB
1024k	128	20.4 MB
1024k	256	20.4 MB

1280k	4	26.2 MB
1280k	16	25.3 MB
1280k	64	25.0 MB
1280k	128	24.9 MB
1280k	256	24.9 MB

1536k	4	30.9 MB
1536k	16	29.9 MB
1536k	64	29.5 MB
1536k	128	29.4 MB
1536k	256	29.4 MB

--orignal
1358k	128	27.1 MB
